EventName,TicketPrice,EventDate,EventLocation,Link,StartingPrice,HighestPrice,Keep
Asia Risk Congress 2019,"US$0 – US$4,390","Tue, 10 Sep 2019, 09:00 –
Fri, 13 Sep 2019, 17:00 Singapore Standard Time Singapore Time",Marina Bay Sands Expo & Convention Centre 1 Bayfront Ave 018971,https://www.eventbrite.co.uk/e/asia-risk-congress-2019-registration-55751472154?aff=ebdssbdestsearch,0,4390,Yes
Asia PE-VC Summit 2019,"US$1,499 – US$1,999","Tue, 17 Sep 2019, 8:30 AM –
Wed, 18 Sep 2019, 6:30 PM Singapore Standard Time Singapore Time","Sofitel Singapore City Centre 9 Wallich Street Singapore, 078885",https://www.eventbrite.sg/e/asia-pe-vc-summit-2019-tickets-52174190408?aff=ebdssbdestsearch,1499,1999,Yes
FX Week Asia 2019,"US$0 – US$2,500","Thu, 29 August 2019
09:00 – 18:00 HKT","The Westin Hotel Singapore 12 Marina View, Asia Square Tower 2 018961",https://www.eventbrite.co.uk/e/fx-week-asia-2019-registration-54842550545?aff=ebdssbdestsearch,0,2500,Yes
PETC Southeast Asia 2019,"US$549 – US$1,499","Wed, 30 Oct 2019, 8:00 AM –
Thu, 31 Oct 2019, 1:30 PM Singapore Standard Time Singapore Time","The Westin Singapore 12 Marina View Asia Square Tower 2 Singapore, 018961",https://www.eventbrite.sg/e/petc-southeast-asia-2019-tickets-61683238226?aff=ebdssbdestsearch,549,1499,Yes
Asia Risk Congress 2019,"US$0 – US$4,390","Tue, 10 Sep 2019, 09:00 –
Fri, 13 Sep 2019, 17:00 Singapore Standard Time Singapore Time",Marina Bay Sands Expo & Convention Centre 1 Bayfront Ave 018971,https://www.eventbrite.co.uk/e/asia-risk-congress-2019-registration-55751472154?aff=ebdssbdestsearch,0,4390,Yes
Asia PE-VC Summit 2019,"US$1,499 – US$1,999","Tue, 17 Sep 2019, 8:30 AM –
Wed, 18 Sep 2019, 6:30 PM Singapore Standard Time Singapore Time","Sofitel Singapore City Centre 9 Wallich Street Singapore, 078885",https://www.eventbrite.sg/e/asia-pe-vc-summit-2019-tickets-52174190408?aff=ebdssbdestsearch,1499,1999,Yes
FX Week Asia 2019,"US$0 – US$2,500","Thu, 29 August 2019
09:00 – 18:00 HKT","The Westin Hotel Singapore 12 Marina View, Asia Square Tower 2 018961",https://www.eventbrite.co.uk/e/fx-week-asia-2019-registration-54842550545?aff=ebdssbdestsearch,0,2500,Yes
PETC Southeast Asia 2019,"US$549 – US$1,499","Wed, 30 Oct 2019, 8:00 AM –
Thu, 31 Oct 2019, 1:30 PM Singapore Standard Time Singapore Time","The Westin Singapore 12 Marina View Asia Square Tower 2 Singapore, 018961",https://www.eventbrite.sg/e/petc-southeast-asia-2019-tickets-61683238226?aff=ebdssbdestsearch,549,1499,Yes
Asian Actuarial Conference 2019,"$732.86 – $1,046.51","Mon, 21 Oct 2019, 7:00 PM –
Thu, 24 Oct 2019, 5:00 PM Singapore Standard Time Singapore Time","Resorts World Sentosa 8 Sentosa Gateway Singapore, Sentosa 098269",https://www.eventbrite.sg/e/asian-actuarial-conference-2019-tickets-60559401801?aff=ebdssbdestsearch,732.86,1046.51,Yes
ContentAsia Summit 2019,"US$1,276 – US$1,595","Wed, 28 Aug 2019, 08:00 –
Thu, 29 Aug 2019, 19:00 Singapore Standard Time Singapore Time","PARKROYAL on Pickering 3 Upper Pickering Street Singapore, 058289",https://www.eventbrite.com/e/contentasia-summit-2019-registration-60235219162?aff=ebdssbdestsearch,1276,1595,Yes
YOW! Singapore Conference 2019 - Sept 13,$285 – $400,"Fri., 13 September 2019
9:00 am – 8:30 pm Singapore Standard Time Singapore Time","Credit Suisse One Raffles Link North Tower Level 2, Wealth Institute Singapore, 039393",https://www.eventbrite.com.au/e/yow-singapore-conference-2019-sept-13-tickets-51986388688?aff=ebdssbdestsearch,285,400,Yes
LXDCON Asia 2019 - Asian Learning Experience Design Conference,€175 – €550,"Thu, Sep 26, 2019, 9:00 AM –
Fri, Sep 27, 2019, 6:00 PM Singapore Standard Time Singapore Time","MOX 451 Joo Chiat Road #03-0 Singapore, 427664",https://www.eventbrite.nl/e/lxdcon-asia-2019-asian-learning-experience-design-conference-tickets-61688141893?aff=ebdssbdestsearch,175,550,Yes
Asia Sustainability Reporting Summit 2019 (USD),"US$549 – US$2,309","Wed, 4 Sep 2019, 9:00 AM –
Thu, 5 Sep 2019, 6:00 PM Singapore Standard Time Singapore Time","Novotel Singapore Clarke Quay 177A River Valley Road Singapore, 179031",https://www.eventbrite.sg/e/asia-sustainability-reporting-summit-2019-usd-tickets-60349755744?aff=ebdssbdestsearch,549,2309,Yes
Singapore OpenGov Leadership Forum 2020,US$995,"Thu, 14 May 2020
8:00 AM – 5:00 PM Singapore Standard Time Singapore Time","Marina Bay Sands, Singapore 10 Bayfront Ave Singapore, Singapore 018956",https://www.eventbrite.sg/e/singapore-opengov-leadership-forum-2020-tickets-62188200582?aff=ebdssbdestsearch,995,0,Yes
Blockchain World Forum · Singapore,"$933.09 – $1,336.74","Thu, Sep 19, 2019, 8:00 AM –
Fri, Sep 20, 2019, 6:00 PM Singapore Standard Time Singapore Time",Singapore,https://www.eventbrite.com/e/blockchain-world-forum-singapore-tickets-53138935988?aff=ebdssbdestsearch,933.09,1336.74,Yes
Digital Marketing Leaders Summit Singapore 2019,"US$899 – US$1,199","Wed, 11 Sep 2019, 08:00 –
Thu, 12 Sep 2019, 17:00 Singapore Standard Time Singapore Time","Marina Bay Sands Singapore 10 Bayfront Avenue Singapore, 018956",https://www.eventbrite.co.uk/e/digital-marketing-leaders-summit-singapore-2019-tickets-59517767244?aff=ebdssbdestsearch,899,1199,Yes
Asia Sustainability Reporting Summit 2019 (SGD),"$739 – $3,099","Wed, 4 Sep 2019, 9:00 AM –
Thu, 5 Sep 2019, 6:00 PM Singapore Standard Time Singapore Time","Novotel Singapore Clarke Quay 177A River Valley Road Singapore, 179031",https://www.eventbrite.sg/e/asia-sustainability-reporting-summit-2019-sgd-tickets-60349771792?aff=ebdssbdestsearch,739,3099,Yes
Responsible Business Forum on Sustainable Development Singapore 2019,"$176 – $1,200","Mon, 18 Nov 2019, 8:00 AM –
Tue, 19 Nov 2019, 6:30 PM Singapore Standard Time Singapore Time","Gardens by the Bay Flower Field Hall, Bay South Garden 18 Marina Gardens Dr Singapore, Singapore 018953",https://www.eventbrite.sg/e/responsible-business-forum-on-sustainable-development-singapore-2019-tickets-62688235199?aff=ebdssbdestsearch,176,1200,Yes
Visualization Day|Singapore|19 September 2019,$410.99 – $718.49,"Thu, September 19, 2019
8:30 AM – 6:00 PM Singapore Standard Time Singapore Time","Ramada by Wyndham Singapore Zhongshan Park 16 Ah Hood Rd Singapore, 329982",https://www.eventbrite.com/e/visualization-daysingapore19-september-2019-tickets-60699623207?aff=ebdssbdestsearch,410.99,718.49,Yes
Dispute Logic in Business: Manila (4-5 November 2019),"$0 – $3,054.84","Mon, Nov 4, 2019, 8:30 AM –
Tue, Nov 5, 2019, 7:30 PM Singapore Standard Time Singapore Time",manila manila Philippines,https://www.eventbrite.com/e/dispute-logic-in-business-manila-4-5-november-2019-tickets-65903913379?aff=ebdssbdestsearch,0,3054.84,Yes
Trying to be a Resilient Organization – Ongoing Journey Towards Cyber Prote...,US$495,"Thu, 12 September 2019
8:00 AM – 1:20 PM Singapore Standard Time Singapore Time","Amara Singapore 165 Tanjong Pagar Road Singapore, Singapore 088539",https://www.eventbrite.sg/e/trying-to-be-a-resilient-organization-ongoing-journey-towards-cyber-protection-tickets-63420686982?aff=ebdssbdestsearch,495,0,Yes
"The ONLY Get-Real, Street-Smart Course to Manage Disputes: Singapore (1-2 N...","$0 – $3,131.34","Fri, Nov 1, 2019, 8:30 AM –
Sat, Nov 2, 2019, 7:30 PM Singapore Standard Time Singapore Time",Singapore Singapore,https://www.eventbrite.com/e/the-only-get-real-street-smart-course-to-manage-disputes-singapore-1-2-november-2019-tickets-62098251542?aff=ebdssbdestsearch,0,3131.34,Yes
"World Congress on Probiotics, Functional food and Nutraceuticals",€677.89,"Mon, Sep 9, 2019, 8:00 AM –
Tue, Sep 10, 2019, 5:00 PM Singapore Standard Time Singapore Time","Holiday Inn Atrium 317 Outram Road Singapore, Singapore 169075",https://www.eventbrite.com/e/world-congress-on-probiotics-functional-food-and-nutraceuticals-registration-62345124947?aff=ebdssbdestsearch,677.89,0,Yes
"2019 – XXIII International Conference on Business, Economics, Law, Language...",$322.09,"Thu, Nov 14, 2019, 9:30 AM –
Fri, Nov 15, 2019, 5:30 PM Singapore Standard Time Singapore Time","The National University of Singapore Society (NUSS), The Kent Ridge Guild House, 9 Kent Ridge Drive, Singapore Singapore, Singapore",https://www.eventbrite.com/e/2019-xxiii-international-conference-on-business-economics-law-language-psychology-icbellp-november-tickets-61147701421?aff=ebdssbdestsearch,322.09,0,Yes
The Art of Conflict Resolution in Business: Singapore (1-2 November 2019),"$0 – $3,127.24","Fri, Nov 1, 2019, 8:30 AM –
Sat, Nov 2, 2019, 7:30 PM Singapore Standard Time Singapore Time",Singapore Singapore,https://www.eventbrite.com/e/the-art-of-conflict-resolution-in-business-singapore-1-2-november-2019-tickets-64057621069?aff=ebdssbdestsearch,0,3127.24,Yes
Cyber Security for Critical Assets APAC,"€767.65 – €1,895.48","Wed, Sep 25, 2019, 8:30 AM –
Thu, Sep 26, 2019, 5:00 PM Singapore Standard Time Singapore Time","Hilton Singapore 581 Orchard Rd Singapore, Singapore 238883",https://www.eventbrite.com/e/cyber-security-for-critical-assets-apac-tickets-63470408701?aff=ebdssbdestsearch,767.65,1895.48,Yes
Unleash the Power Within - Tony Robbins UPW Singapore 2019,"£1,722.16","Fri, Sep 6, 2019, 10:30 PM –
Mon, Sep 9, 2019, 7:00 PM Singapore Standard Time Singapore Time","1 Expo Dr 1 Expo Drive Singapore, 486150",https://www.eventbrite.com/e/unleash-the-power-within-tony-robbins-upw-singapore-2019-tickets-63905070787?aff=ebdssbdestsearch,1722.16,0,Yes
4th Rail Training & Simulation Technology Forum 27th-28th Nov in Singapore,€309.96,"Wed, Nov 27, 2019, 8:30 AM –
Thu, Nov 28, 2019, 5:30 PM Singapore Standard Time Singapore Time","Novotel Singapore Clarke Quay 177A River Valley Road Singapore, 179031",https://www.eventbrite.com/e/4th-rail-training-simulation-technology-forum-27th-28th-nov-in-singapore-tickets-63842550788?aff=ebdssbdestsearch,309.96,0,Yes
Workshop On - Scaled Agile Framework,US$777.84 – US$984.84,"Thu, 22 Aug 2019, 9:00 AM –
Fri, 23 Aug 2019, 5:00 PM Singapore Standard Time Singapore Time","Ramada by Wyndham Singapore At Zhongshan Park 16 Ah Hood Road Singapore, 329982",https://www.eventbrite.sg/e/workshop-on-scaled-agile-framework-tickets-63864941760?aff=ebdssbdestsearch,777.84,984.84,Yes
Workshop On - DA 105: Disciplined Agile in a Nutshell,US$467.34 – US$674.34,"Tue, 20 Aug 2019, 9:00 PM –
Wed, 21 Aug 2019, 5:00 PM Singapore Standard Time Singapore Time","Ramada by Wyndham Singapore At Zhongshan Park 16 Ah Hood Road Singapore, 329982",https://www.eventbrite.sg/e/workshop-on-da-105-disciplined-agile-in-a-nutshell-tickets-63860036087?aff=ebdssbdestsearch,467.34,674.34,Yes
